DEPTH,AC,CAL,CNL,DEN,DEN_QYZ,DEN_QYZ_S,GR,GR_QYZ,GR_QYZ_S,ILD,ILM,LL8,RLLD,RLLD_QYZ,RLLD_QYZ_S,RLLS,RPL,SP,SP_S,LAYER,FACIES
1133.05,90.526,8.328,25.083,1.853,1.853,2.278,52.923,52.923,79.159,34.379,30.188,25.351,37.237,17.384,11.484,36.561,250.268,48.396,52.627,P18b,J
1133.1,90.528,8.327,25.115,1.86,1.86,2.286,53.454,53.454,79.518,34.379,30.188,24.889,36.566,17.384,11.484,35.902,247.505,48.682,52.936,P18b,J
1133.15,90.544,8.339,25.099,1.867,1.867,2.294,53.996,53.996,79.884,33.746,30.188,24.434,35.909,17.384,11.484,35.257,244.755,48.937,53.213,P18b,J
1133.2,90.538,8.362,25.082,1.873,1.873,2.301,54.55,54.55,80.259,33.125,30.188,23.988,35.266,17.384,11.484,33.999,242.607,49.162,53.456,P18b,J
1133.25,90.515,8.375,25.094,1.878,1.878,2.307,55.104,55.104,80.633,33.125,30.188,23.988,34.623,17.384,11.484,32.79,238.223,49.386,53.699,P18b,J
1133.3,90.527,8.372,25.124,1.881,1.881,2.31,56.205,56.205,81.377,32.518,30.188,23.55,34.132,17.384,11.484,32.203,233.917,49.892,54.246,P18b,J
1133.35,90.592,8.367,25.093,1.88,1.88,2.309,57.306,57.306,82.12,31.918,30.188,23.55,33.641,17.384,11.484,31.623,229.666,50.398,54.794,P18b,J
1133.4,90.667,8.379,24.926,1.88,1.88,2.309,57.591,57.591,82.312,31.331,30.188,23.55,33.157,17.384,11.484,31.055,223.43,50.858,55.292,P18b,J
1133.45,90.719,8.403,24.633,1.879,1.879,2.308,57.059,57.059,81.953,30.754,30.188,23.121,32.679,17.384,11.484,30.497,218.044,51.271,55.74,P18b,J
1133.5,90.786,8.418,24.31,1.877,1.877,2.305,56.527,56.527,81.594,30.754,29.883,23.121,32.201,17.384,11.484,30.497,212.686,51.685,56.188,P18b,J
1133.55,90.906,8.415,24.04,1.874,1.874,2.302,56.577,56.577,81.628,30.189,29.633,23.121,32.241,17.384,11.484,30.497,207.325,52.413,56.976,P18b,J
1133.6,91.058,8.407,23.834,1.87,1.87,2.298,56.628,56.628,81.662,29.633,29.088,23.121,32.281,17.384,11.484,30.497,201.939,53.14,57.764,P18b,J
1133.65,91.187,8.411,23.669,1.867,1.867,2.294,56.496,56.496,81.573,29.088,28.553,22.699,32.399,17.384,11.484,30.497,196.578,53.724,58.396,P18b,J
1133.7,91.275,8.426,23.537,1.864,1.864,2.291,56.183,56.183,81.362,28.549,28.551,22.699,32.594,17.384,11.484,30.497,191.296,54.165,58.874,P18b,J
1133.75,91.346,8.433,23.444,1.86,1.86,2.286,55.869,55.869,81.15,26.509,27.168,22.699,32.79,17.384,11.484,30.497,182.959,54.606,59.351,P18b,J
1133.8,91.435,8.425,23.382,1.855,1.855,2.28,56.42,56.42,81.522,25.222,25.813,22.699,32.672,17.384,11.484,30.497,174.622,55.245,60.043,P18b,J
1133.85,91.564,8.413,23.328,1.845,1.845,2.269,56.971,56.971,81.895,23.929,24.452,22.699,32.555,17.384,11.484,30.497,165.289,55.884,60.734,P18b,J
1133.9,91.715,8.409,23.261,1.828,1.828,2.25,57.317,57.317,82.128,22.645,23.099,22.699,32.437,17.384,11.484,29.949,162.302,56.458,61.356,P18b,J
1133.95,91.834,8.411,23.183,1.813,1.813,2.233,57.456,57.456,82.222,21.352,21.738,22.284,32.319,17.384,11.484,29.949,153.623,56.969,61.909,P18b,J
1134.0,91.902,8.414,23.122,1.807,1.807,2.226,57.596,57.596,82.316,20.065,20.383,21.878,32.201,17.384,11.484,29.949,145.443,57.479,62.462,P18b,J
1134.05,91.957,8.414,23.079,1.811,1.811,2.23,58.707,58.707,83.067,18.779,19.028,21.088,30.167,17.384,11.484,28.884,137.7,58.55,63.621,P18b,J
